序號,國別,片名,上映日,總金額,總票數,首週票房,tmdb_id,imdb_id,tmdb_title,tmdb_original_title,tmdb_release_date,original_language,genres,popularity,vote_average,vote_count,runtime,production_countries,match_status,match_note
349,韓國,G-DRAGON IN CINEMA [Übermensch],2025-10-28,38475084,55071,9764344,1478082,tt38262395,지드래곤 인 시네마 [위버맨쉬],지드래곤 인 시네마 [위버맨쉬],2025-10-17,ko,纪录|音乐,0.3694,10.0,1,106,KR,matched,
350,中華民國,南方時光,2025-10-28,1277518,5462,113280,1259443,tt37813052,南方時光,南方時光,2025-11-14,zh,剧情,0.5112,0.0,0,114,TW,matched,
351,日本,睡覺的笨蛋,2025-10-28,329241,1299,119149,1357797,tt36109154,睡覺的笨蛋,ネムルバカ,2025-03-20,ja,喜剧|剧情|音乐,0.9779,7.9,12,106,JP,matched,
352,中華民國,女孩,2025-10-27,7469575,28170,2424443,1357759,tt33396536,女孩,女孩,2025-10-31,zh,剧情,2.1894,7.2,8,125,TW|CN,matched,
353,法國,天才琴手,2025-10-26,243057,1091,0,1063881,tt31948263,天才琴手,Prodigieuses,2024-11-20,fr,剧情|音乐,0.5234,6.684,49,101,FR,matched,
354,日本,劇場版 咒術迴戰 0,2025-10-24,6265813,18590,1453461,810693,tt14331144,劇場版 咒術迴戰 0,劇場版 呪術廻戦 0,2021-12-24,ja,动画|动作|奇幻,11.5147,8.099,1727,104,JP,matched,
355,日本,魯邦三世 不死身的血族,2025-10-24,861866,3277,153749,1395140,tt34812090,魯邦三世：不死身的血族,LUPIN THE IIIRD THE MOVIE 不死身の血族,2025-06-27,ja,动画|动作|犯罪,2.459,7.7,27,93,JP,matched,
356,韓國,全力奔跑,2025-10-24,839634,3282,124049,1284241,tt33269867,全力奔跑,전력질주,2025-09-10,ko,爱情|剧情,0.9821,5.0,3,97,KR,matched,
357,美國,提姆波頓之地獄新娘,2025-10-24,550624,1904,99156,3933,tt0121164,提姆波頓之地獄新娘,Corpse Bride,2005-09-12,en,爱情|奇幻|动画,9.9962,7.586,10147,77,GB|US,matched,
358,義大利,拿坡里的美麗傳說,2025-10-24,205557,936,30115,1109255,tt23853982,拿坡里的美麗傳說,Parthenope,2024-10-24,it,剧情,3.6799,6.688,746,137,FR|IT,matched,
359,法國,從前從前我的媽,2025-10-24,118119,540,10065,1107215,tt29927144,從前從前我的媽,"Ma mère, Dieu et Sylvie Vartan",2025-03-19,fr,剧情|喜剧,1.2821,6.957,235,102,FR|CA|US,matched,
360,香港,頭文字D(4K修復版),2025-10-23,4458144,16142,1291519,16411,tt0439630,頭文字D,頭文字D,2005-05-12,cn,动作|犯罪|剧情,3.8047,6.672,309,109,HK|JP|TH,matched,
361,印尼,大婢咒,2025-10-23,3387515,12874,730019,1391153,tt36984240,大婢咒,Kitab Sijjin & Illiyyin,2025-07-17,id,恐怖|惊悚,1.4133,7.6,7,98,ID,matched,
362,日本,迷宮裡的魔術師,2025-10-23,2263638,8933,535282,1369010,tt38013071,迷宮裡的魔術師,ブラック・ショーマン,2025-09-12,ja,悬疑,2.4932,6.7,3,127,JP,matched,
364,比利時,盛夏心動,2025-10-23,152727,624,24899,1232449,tt15245268,盛夏心動,Young Hearts,2024-10-26,nl,剧情|爱情,7.3668,8.475,255,99,BE|NL,matched,
365,韓國,ONE IN A MILL10N,2025-10-20,14028651,28988,2877520,1516525,tt38628056,ONE IN A MILL10N,원 인 어 밀리언,2025-10-20,ko,纪录|音乐,0.9848,8.0,3,121,KR,matched,
366,日本,國寶,2025-10-19,42816775,144859,7071175,1379266,tt35231039,國寶,国宝,2025-06-06,ja,剧情,4.2465,7.971,69,174,JP,matched,
367,日本,琳達！琳達！4K數位修復版,2025-10-19,2099803,8200,0,27337,tt0468795,琳達！琳達！,リンダ リンダ リンダ,2005-07-23,ja,喜剧|音乐|剧情,2.4839,7.54,151,115,JP,matched,
368,日本,普通的孩子,2025-10-19,115521,465,0,1476988,tt36057265,普通的孩子,ふつうの子ども,2025-09-05,ja,剧情|喜剧,0.6545,4.7,3,96,JP,matched,
370,美國,捍衛天使,2025-10-17,10038369,38947,3233963,1114967,tt27543578,捍衛天使,Good Fortune,2025-10-14,en,喜剧|奇幻,5.6554,6.89,608,98,US,matched,
371,美國,乖狗狗,2025-10-17,2576475,9689,798190,1422096,tt35521922,乖狗狗,Good Boy,2025-10-01,en,恐怖,6.0957,6.689,599,73,US,matched,
