"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
115521,"剧情",2025,96,4.7,3,0.6545,"Non_High_Revenue"
10038369,"喜剧",2025,98,6.89,608,5.6554,"High_Revenue"
2576475,"恐怖",2025,73,6.689,599,6.0957,"Non_High_Revenue"
2256896,"恐怖",2025,114,6.692,1060,13.7542,"Non_High_Revenue"
757945,"剧情",2025,104,6.5,8,1.447,"Non_High_Revenue"
294683,"爱情",2025,118,8.5,6,0.74,"Non_High_Revenue"
147281,"剧情",2025,96,5.4,5,1.7773,"Non_High_Revenue"
80512,"剧情",2025,106,6.7,12,0.578,"Non_High_Revenue"
29210,"剧情",2025,97,8,3,0.1818,"Non_High_Revenue"
524798,"喜剧",2025,130,6.452,31,2.6581,"Non_High_Revenue"
91453,"纪录",2025,172,0,0,0.2467,"Non_High_Revenue"
100637550,"恐怖",2025,111,7.1,40,10.0359,"High_Revenue"
11731868,"动作",2025,125,5.3,29,3.8793,"High_Revenue"
6778994,"喜剧",2025,138,7.513,1014,12.084,"High_Revenue"
1709650,"冒险",2025,101,4,1,0.8996,"Non_High_Revenue"
465913,"恐怖",2025,91,5.525,60,3.435,"Non_High_Revenue"
401905,"恐怖",2025,95,5.2,83,0.7681,"Non_High_Revenue"
376543,"剧情",2025,149,5.28,75,2.396,"Non_High_Revenue"
39964101,"科幻",2025,119,6.471,1367,15.7511,"High_Revenue"
9581074,"动画",2025,65,0,0,0.3338,"High_Revenue"
15158758,"动画",2025,106,7.822,104,4.853,"High_Revenue"
10005736,"剧情",2025,0,0,0,0.9121,"High_Revenue"
2609701,"动画",2025,102,7.647,34,1.6367,"Non_High_Revenue"
2471644,"家庭",2025,98,6.7,71,6.7249,"Non_High_Revenue"
1264642,"动作",2025,104,6.334,292,5.8473,"Non_High_Revenue"
1060283,"剧情",2025,102,3,2,0.3174,"Non_High_Revenue"
165385,"动画",2025,85,7,3,1.4246,"Non_High_Revenue"
137277,"剧情",2025,108,6.909,11,1.2175,"Non_High_Revenue"
41844,"犯罪",2025,88,5.5,2,0.7626,"Non_High_Revenue"
6025914,"剧情",2025,111,0,0,0.6993,"High_Revenue"
